name,description,voting,duration,view,status,genre,director,country,follower,quality,rating,studio,season,year,type
Dark Gathering,"Keitarou, chàng trai có khả năng thu hút ma quỷ, được thuê làm gia sư cho một cô bé mang tên gọi Yayoi, người có thể trông thấy ma quỷ và đang trong công cuộc tìm kiếm con ma đã mang người mẹ của mình đi mất.",0.95,25 tập,36088,Phim đang chiếu,"['Shounen', 'Supernatural', 'Horror']",Hiroshi Ikehata,Nhật Bản,34,HD,R - 17+ (bạo lực và tục tĩu),OLM,Mùa Hạ,2023,Anime bộ
Trò Chơi Nói Dối,"Đảo học viện, nơi các học sinh mở ra những trận quyết đấu để quyết định rank (Game). Tôi, Shinohara Hiroto đã đánh bại Saionji Sarasa, vị vua tuyệt đối ở kỳ năm ngoái ngay ngày chuyển trường đầu tiên rồi thăng lên thành 7 sao đỉnh cao với tốc độ nhanh nhất trong lịch sử học viện. Song tất cả chỉ là dối trá. Để đạt được mục đích của mình ở đảo học viện, tôi quyết giành được sự thống trị cho dù có phải nói dối. Bởi vậy, tôi sẽ sử dụng bất cứ thứ gì ngay cả tư cách là chủ nhân của cô nàng maid xinh đẹp nhưng đầy gian xảo - Himeji hay là mối quan hệ tòng phạm với cô tiểu thư giả mạo Saionji... Nào, ta hãy bắt đầu công cuộc chinh phục thế giới bằng sự dối trá thôi.",0.94,12 tập,173964,Phim đang chiếu,"['Sci-Fi', 'School', 'Romance', 'Psychological', 'Game', 'Comedy']",Oono Satoru,Nhật Bản,222,HD,PG-13 - Teens 13 tuổi trở lên,GEEK TOYS,Mùa Hạ,2023,Anime bộ
Horimiya: Piece,Chuyển thể những phần ở manga bị cắt trong TV Series.,0.91,13 tập,584019,Phim đang chiếu,"['Shounen', 'School', 'Romance', 'Slice of Life', 'Comedy']",Ishihama Masashi,Nhật Bản,497,HD,PG-13 - Teens 13 tuổi trở lên,CloverWorks,Mùa Hạ,2023,Anime bộ
Temple,"Đúng vậy. Tôi sẽ trở thành một nhà sư! Không biết phải làm gì với những ham muốn trần tục của mình, Akagami Akemitsu nhắm đến một cuộc sống khắc kỷ. Tuy nhiên, dòng máu đầy nghiệp chướng trong cậu ta lại không cho phép.",0.97,12 tập,86385,Phim đang chiếu,"['Romance', 'Slice of Life', 'Harem', 'Ecchi', 'Comedy']",Koga Kazuomi,Nhật Bản,139,HD,PG-13 - Teens 13 tuổi trở lên,Gekkou,Mùa Hạ,2023,Anime bộ
Tôi Có Thực Sự Là Người Mạnh Nhất Không?,Một thanh niên bị bắt nạt được tái sinh ở thế giới khác và cuộc sống bình yên của cậu bắt đầu lại từ đầu...,0.89,12 tập,555460,Phim đang chiếu,"['Shounen', 'Romance', 'Fantasy', 'Comedy', 'Adventure']",Naoya Takashi,Nhật Bản,643,HD,PG-13 - Teens 13 tuổi trở lên,Staple Entertainment,Mùa Hạ,2023,Anime bộ
Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,"Ryza là một cô gái bình thường. Mệt mỏi với cuộc sống làng quê buồn tẻ, cô trốn khỏi làng để tụ tập với những người bạn tốt của mình tại một địa điểm bí mật để nói về ước mơ của họ và lên kế hoạch cho những cuộc phiêu lưu ly kỳ. Một ngày nọ, Ryza và đồng đội quyết tâm quyết định hướng đến 'hòn đảo bên kia bờ biển' bị cấm trong chuyến thám hiểm đầu tiên của họ.Cùng với nhà giả kim và những người bạn khác mà họ gặp ở đó, họ có một 'cuộc phiêu lưu mùa hè' mà họ sẽ không bao giờ quên.",0.94,12 tập,154983,Phim đang chiếu,"['Fantasy', 'Comedy', 'Adventure', 'Action']",Yuzuriha Emma,Nhật Bản,142,HD,PG-13 - Teens 13 tuổi trở lên,LIDENFILMS,Mùa Hạ,2023,Anime bộ
Edens Zero 2nd Season,Mùa 2 của Edens Zero.,0.93,chưa rõ,260352,Phim đang chiếu,"['Shounen', 'Sci-Fi', 'Space', 'Fantasy', 'Comedy', 'Adventure']",Ishihira Shinji,Nhật Bản,254,HD,PG-13 - Teens 13 tuổi trở lên,J.C.Staff,Mùa Xuân,2023,Anime bộ
Uchi no Kaisha no Chiisai Senpai no Hanashi,Chuyện về anh nhân viên và đàn chị nhỏ nhắn.,0.84,chưa rõ,167034,Phim đang chiếu,"['Shoujo', 'Romance', 'Slice of Life', 'Comedy']",Satou Mitsutoshi,Nhật Bản,220,HD,PG-13 - Teens 13 tuổi trở lên,Project No.9,Mùa Hạ,2023,Anime bộ
One Piece - Đảo Hải Tặc,"Đảo Hải Tặc - One Piece là chuyện về cậu bé Monkey D. Luffy do ăn nhầm Trái Ác Quỷ, bị biến thành người cao su và sẽ không bao giờ biết bơi. 10 năm sau sự việc đó, cậu rời quê mình và kiếm đủ 10 thành viên để thành một băng hải tặc, biệt hiệu Hải tặc Mũ Rơm. Khi đó của phiêu lưu tìm kiếm kho báu One Piece bắt đầu. Trong cuộc phiêu lưu tìm kiếm One Piece, băng Hải tặc mũ rơm phải chiến đấu với nhiều băng hải tặc xấu khác cũng muốn độc chiếm One Piece và Hải quân của Chính phủ muốn diệt trừ hải tặc. Băng Hải tặc Mũ Rơm phải trải qua biết bao nhiêu khó khăn, không lùi bước với ước mơ ""Trở thành Vua Hải Tặc và chiếm được kho báu One Piece"".",0.91,chưa rõ,80263136,Phim đang chiếu,"['Shounen', 'Super Power', 'Fantasy', 'Drama', 'Comedy', 'Adventure', 'Action']",Uda Kounosuke,Nhật Bản,100095,FHD,PG-13 - Teens 13 tuổi trở lên,Toei Animation,Mùa Thu,1999,Anime bộ
Đấu Phá Thương Khung Phần 5,"Đấu Phá Thương Khung Phần 5 - Già Nam Học Viện chủ yếu kể về diên biến của Tiêu Viêm sau khi bị Vân Lam Tông truy sát, hắn ta đã chạy tới học viện Già Nam để tiếp tục theo học, tại đây hắn đã giao thủ với các học viên khác có ý đối đầu với hắn, cũng như hắn tiếp tục có cơ hội gặp gỡ Huân Nhi tại đây.",0.95,104 tập,3708499,Phim đang chiếu,"['Fantasy', 'Adventure', 'Action']",Đang cập nhật,Trung Quốc,4170,HD,PG-13 - Teens 13 tuổi trở lên,Motion Magic,Mùa Xuân,2022,Anime bộ
